AI엔지니어,,
,,
분 류,설명 ,난이도
Python 프로그래밍 및 AI 수학,Python 고급 문법 숙지 및 선형대수·확률통계 등 AI 필수 수학 이론 이해,없음/찍먹/기본/심화
데이터 전처리 및 핸들링,Pandas·NumPy를 활용한 비정형 데이터(텍스트·이미지) 정제 및 가공,없음/찍먹/기본/심화
머신러닝/딥러닝 프레임워크 기초,PyTorch 또는 TensorFlow를 활용한 인공신경망(ANN) 설계 및 모델링 기초,없음/찍먹/기본/심화
데이터베이스 및 SQL 활용,AI 모델 학습용 데이터 구축을 위한 RDBMS 및 SQL 데이터 추출 능력 함양,없음/찍먹/기본/심화
컴퓨터 비전(CV) 및 이미지 처리,"CNN 아키텍처 기반의 이미지 분류, 객체 탐지(Object Detection) 모델 구현",없음/찍먹/기본/심화
자연어 처리(NLP) 및 LLM 활용,Transformer 구조 이해 및 BERT·GPT 등 거대언어모델(LLM) 응용 실습,없음/찍먹/기본/심화
생성형 AI 및 RAG 아키텍처,벡터 데이터베이스(Vector DB)와 RAG(검색 증강 생성) 기술을 활용한 AI 서비스 구축,없음/찍먹/기본/심화
모델 성능 최적화 및 경량화,모델 성능 고도화를 위한 파인튜닝(Fine-tuning) 및 모바일/엣지 환경용 경량화 기술 적용,없음/찍먹/기본/심화
AI 모델 서빙 및 API 개발,FastAPI·Flask를 활용한 모델 API 서버 구축 및 실시간 추론 서비스 구현,없음/찍먹/기본/심화
MLOps 파이프라인 및 클라우드 배포,Docker·Kubernetes 기반의 모델 배포 자동화(CI/CD) 및 모니터링 환경 구축,없음/찍먹/기본/심화
실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,