기획,,
,,
분 류,설명 ,난이도
서비스 기획 방법론 및 프로세스 이해,워터폴(Waterfall) 및 애자일(Agile) 방법론 비교 및 서비스 생애주기(Life Cycle) 이해,없음/찍먹/기본/심화
시장 조사 및 벤치마킹 분석,"경쟁사 분석, 포지셔닝 맵 작성 및 데스크 리서치를 통한 시장 기회 도출",없음/찍먹/기본/심화
UX 리서치 및 사용자 경험 설계,"페르소나(Persona) 설정, 유저 저니 맵(Journey Map) 작성을 통한 사용자 니즈 발굴",없음/찍먹/기본/심화
정보구조(IA) 설계 및 유저 플로우 작성,서비스 메뉴 구조도(IA) 설계 및 사용자 동선 최적화를 위한 플로우차트(Flowchart) 작성,없음/찍먹/기본/심화
요구사항 정의서(PRD) 및 기능 명세,비즈니스 요구사항을 개발 가능한 단위로 구체화하는 PRD 작성,없음/찍먹/기본/심화
화면 설계서(SB) 및 와이어프레임 제작,UI 표준 정의 및 디스크립션(Description)이 포함된 상세 스토리보드(Storyboard) 작성,없음/찍먹/기본/심화
피그마(Figma) 활용 및 프로토타이핑,Figma 툴을 활용한 UI 컴포넌트 관리 및 개발/디자인 핸드오프를 위한 프로토타입 구현,없음/찍먹/기본/심화
개발/디자인 협업을 위한 IT 문해력,"클라이언트/서버 구조, API, DB, 트랜잭션 등 개발자와의 소통을 위한 필수 IT 지식 함양",없음/찍먹/기본/심화
데이터 기반 의사결정 및 지표 관리,"GA4, SQL 기초를 활용한 데이터 트래킹 및 핵심 성과 지표(KPI/OKR) 수립 전략",없음/찍먹/기본/심화
MVP 기획 및 런칭 프로젝트,"최소 기능 제품(MVP) 기획부터 백로그 관리, 스프린트 운영을 포함한 실전 서비스 런칭",없음/찍먹/기본/심화