데이터분석,,
,,
분 류,설명 ,난이도
데이터 문해력 및 스프레드시트 활용,엑셀의 고급 기능을 활용해 데이터를 1차적으로 가공하고 구조를 해석,없음/찍먹/기본/심화
데이터 분석 프로그래밍,Python과 핵심 라이브러리를 활용해 대용량 데이터를 효율적으로 처리,없음/찍먹/기본/심화
데이터 추출 및 관리,기업의 데이터베이스 환경을 이해하고 SQL로 필요한 데이터를 정확히 추출,없음/찍먹/기본/심화
데이터 수집 및 자동화,웹 크롤링과 API 연동을 통해 분석에 필요한 외부 데이터셋을 직접 구축,없음/찍먹/기본/심화
탐색적 데이터 분석 및 전처리,데이터의 결측치와 이상치를 정제하고 분포 패턴을 파악하여 품질을 높임,없음/찍먹/기본/심화
통계 분석 및 가설 검증,통계적 가설 검정을 통한 데이터 패턴 검증 및 객관적 근거 마련,없음/찍먹/기본/심화
예측 모델링 기초,머신러닝 알고리즘 적용 및 과거 데이터 기반의 미래 수치 예측,없음/찍먹/기본/심화
데이터 시각화 및 대시보드,전문 도구를 활용한 이해관계자용 인터랙티브 대시보드 구현,없음/찍먹/기본/심화
비즈니스 지표 분석,서비스 성장을 측정하는 핵심 지표(KPI) 정의 및 현황 진단,없음/찍먹/기본/심화
실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화