디자인,,
,,
분 류,설명 ,난이도
디자인 기초 이론 및 조형 원리,"타이포그래피, 컬러 시스템, 그리드(Grid) 레이아웃 등 시각 디자인의 핵심 원리 숙지",없음/찍먹/기본/심화
피그마(Figma) 핵심 및 심화 활용,"오토 레이아웃(Auto Layout), 컴포넌트, 베리어블 등 실무 필수 Figma 기능 마스터",없음/찍먹/기본/심화
그래픽 리소스 제작 (PS/AI),"포토샵·일러스트레이터를 활용한 아이콘 제작, 이미지 보정 및 그래픽 에셋 디자인",없음/찍먹/기본/심화
웹/앱 환경 및 해상도의 이해,반응형 웹의 브레이크 포인트 및 iOS/Android 모바일 OS별 해상도 가이드라인 학습,없음/찍먹/기본/심화
UX 리서치 및 방법론,"데스크 리서치, 경쟁사 분석, 페르소나(Persona) 및 저니맵 설정을 통한 사용자 니즈 발굴",없음/찍먹/기본/심화
정보구조(IA) 및 와이어프레임,서비스 메뉴 구조(IA) 설계 및 기획을 시각화하는 로우파이(Lo-Fi) 와이어프레임 작성,없음/찍먹/기본/심화
프로토타이핑 및 인터랙션,화면 흐름을 검증하는 프로토타입 제작 및 마이크로 인터랙션(Smart Animate) 구현,없음/찍먹/기본/심화
디자인 시스템 구축 및 관리,"컬러, 폰트, UI 컴포넌트의 표준화 및 재사용 가능한 디자인 시스템 가이드라인 제작",없음/찍먹/기본/심화
반응형 웹 및 모바일 앱 프로젝트,"PC, Tablet, Mobile 등 다양한 디바이스 환경에 최적화된 실전 UI 디자인 프로젝트 수행",없음/찍먹/기본/심화
실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화