로봇,,
,,
분 류,설명 ,난이도
로봇 프로그래밍 언어 (C++ / Python),"객체지향 C++ 및 Python 프로그래밍 숙지, 로봇 제어를 위한 효율적인 메모리 관리",없음/찍먹/기본/심화
리눅스(Linux) 시스템 및 개발 환경,Ubuntu 환경에서의 리눅스 명령어 숙지 및 로봇 개발을 위한 Shell Scripting 활용,없음/찍먹/기본/심화
임베디드 제어 및 센서 인터페이스,MCU(STM32/Arduino)를 활용한 모터 제어(PWM) 및 IMU·LiDAR 등 센서 데이터 통신,없음/찍먹/기본/심화
로봇 수학 및 기구학(Kinematics),"로봇 팔/이동 로봇 해석을 위한 선형대수(행렬) 및 좌표 변환, 정/역기구학 이론 학습",없음/찍먹/기본/심화
ROS 2 아키텍처 및 통신,"최신 ROS 2(Robot Operating System) 구조 이해 및 노드 간 통신(Topic, Service, Action) 구현",없음/찍먹/기본/심화
로봇 시뮬레이션,URDF/Xacro를 활용한 가상 로봇 모델링 및 물리 엔진 기반의 3D 시뮬레이션 환경 구축,없음/찍먹/기본/심화
SLAM 및 내비게이션,LiDAR/Camera 센서 기반의 지도 작성(SLAM) 및 장애물 회피를 포함한 자율주행 경로 계획,없음/찍먹/기본/심화
로봇 비전 및 인식,"OpenCV 및 딥러닝을 활용한 물체 인식, 거리 추정 및 로봇의 주변 환경 인지 기술",없음/찍먹/기본/심화
매니퓰레이션 및 모션 플래닝,다관절 로봇 팔 제어를 위한 MoveIt 프레임워크 활용 및 역기구학 기반 모션 제어,없음/찍먹/기본/심화
자율주행/서비스 로봇 융합 프로젝트,자율주행 배송 로봇 또는 협동 로봇(Cobot)을 활용한 실제 서비스 시나리오 구현 및 검증,없음/찍먹/기본/심화