웹개발(백엔드),,
,,
분 류,설명 ,난이도
프로그래밍 언어 코어,개발자와 컴퓨터가 대화하는 '주력 언어'를 마스터,없음/찍먹/기본/심화
웹 서버 & 네트워크 기초,인터넷이 동작하는 원리,없음/찍먹/기본/심화
백엔드 프레임워크,"실무 개발의 핵심 도구 
Java (Spring)
Node.js (NestJS)
Python (Django/FastAPI)",없음/찍먹/기본/심화
데이터베이스 설계,데이터를 저장하고 관리하는 창고,없음/찍먹/기본/심화
데이터 접근 기술,자바 코드와 DB를 연결하는 기술,없음/찍먹/기본/심화
API 개발 & 보안,외부(프론트엔드)와 소통하는 문을 만듬,없음/찍먹/기본/심화
서버 배포 & 인프라,내가 만든 서버를 인터넷 세상에 올림,없음/찍먹/기본/심화
CI/CD & 자동화,코드 수정부터 배포까지의 과정을 자동화,없음/찍먹/기본/심화
대용량 트래픽 & 성능 최적화,사람이 몰려도 서버가 터지지 않게 튼튼하게 튜닝,없음/찍먹/기본/심화
협업 배포 & 실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화