웹개발(풀스텍),,
,,
분 류,설명 ,난이도
웹 기초 & UI 구현,사용자가 보는 화면의 뼈대를 만들고 예쁘게 꾸미는 법을 배움,없음/찍먹/기본/심화
프론트엔드 프레임워크,화면을 레고 블록처럼 효율적으로 조립하기 위해 리액트등을 배움,없음/찍먹/기본/심화
백엔드 언어 & 서버,데이터 처리를 담당할 '두뇌'를 만듬,없음/찍먹/기본/심화
데이터베이스 & 모델링,회원 정보나 상품 데이터를 저장할 '창고'를 짓고 정리하는 법을 배움,없음/찍먹/기본/심화
API 설계 및 통신,화면(프론트)이 서버(백엔드)와의 대화 방법을 배움,없음/찍먹/기본/심화
인증 & 보안,"아무나 들어오지 못하게 문을 잠그고, 회원가입/로그인 기능을 만듬",없음/찍먹/기본/심화
상태 관리 및 데이터 캐싱,사용자가 보는 화면과 데이터를 빠르게 일치시키는 기술,없음/찍먹/기본/심화
배포 & 데브옵스,내가 만든 서비스를 클라우드 에 올려서 사람들이 접속할 수 있게 만듬,없음/찍먹/기본/심화
심화 아키텍처,"더 빠르고, 검색엔진에 잘 걸리는 '프로 수준'의 웹사이트로 업그레이드",없음/찍먹/기본/심화
협업 배포 & 실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화