임베디드(IOT),,
,,
분 류,설명 ,난이도
C/C++ 프로그래밍 및 임베디드 코딩,메모리 구조 이해 및 포인터를 활용한 효율적인 임베디드 C 프로그래밍,없음/찍먹/기본/심화
마이크로컨트롤러 구조 및 주변장치 제어,ARM/AVR 아키텍처 이해 및 GPIO·UART·I2C·SPI 등 핵심 통신 인터페이스 제어,없음/찍먹/기본/심화
센서/액추에이터 제어 및 회로도 분석,데이터시트 분석을 통한 각종 센서 데이터 수집 및 모터·디스플레이 구동,없음/찍먹/기본/심화
실시간 운영체제(RTOS) 활용,FreeRTOS 등을 활용한 멀티태스킹 스케줄링 및 실시간 시스템 제어 구현,없음/찍먹/기본/심화
임베디드 리눅스 시스템 포팅,"타겟 보드(라즈베리파이/Jetson 등)에 부트로더, 커널, 파일시스템 구축 및 포팅",없음/찍먹/기본/심화
리눅스 시스템 프로그래밍,"리눅스 환경에서의 파일 입출력, 프로세스 관리 및 멀티스레드 프로그래밍",없음/찍먹/기본/심화
리눅스 커널 및 디바이스 드라이버 개발,커널 모듈 프로그래밍 및 하드웨어 제어를 위한 디바이스 드라이버 작성,없음/찍먹/기본/심화
IoT 무선 통신 및 네트워크 프로그래밍,Wi-Fi·Bluetooth·Zigbee 통신 이해 및 소켓 프로그래밍을 통한 네트워크 구축,없음/찍먹/기본/심화
IoT 클라우드 플랫폼 연동 및 엣지 컴퓨팅,MQTT 프로토콜을 활용한 AWS IoT/Azure 연동 및 엣지단의 데이터 처리,없음/찍먹/기본/심화
스마트 IoT 디바이스 제작 융합 프로젝트,"HW 설계부터 펌웨어, 서버 연동까지 수행하는 스마트 디바이스 상용화 레벨 제작",없음/찍먹/기본/심화