클라우드,,
,,
분 류,설명 ,난이도
리눅스 시스템 관리 및 쉘 스크립팅,리눅스(Linux) OS 구조 이해 및 쉘 스크립트를 활용한 서버 운영 자동화,없음/찍먹/기본/심화
네트워크 핵심 이론 및 가상화 기초,"TCP/IP 프로토콜, 서브넷팅 등 네트워크 이론 숙지 및 가상화 기술 이해",없음/찍먹/기본/심화
퍼블릭 클라우드 인프라 구축,"가상 서버(EC2), 네트워크(VPC), 스토리지 등 클라우드 핵심 리소스 생성 및 관리",없음/찍먹/기본/심화
고가용성(HA) 아키텍처 및 로드밸런싱,트래픽 분산을 위한 로드밸런서(ELB) 구성 및 오토스케일링(Auto Scaling) 아키텍처 설계,없음/찍먹/기본/심화
도커(Docker) 컨테이너 가상화 활용,애플리케이션의 격리 및 배포 효율화를 위한 도커 이미지 생성 및 컨테이너 운영,없음/찍먹/기본/심화
쿠버네티스(Kubernetes) 클러스터 운영,대규모 컨테이너 관리를 위한 쿠버네티스 아키텍처 이해 및 파드(Pod)·서비스 배포,없음/찍먹/기본/심화
클라우드 데이터베이스 및 스토리지 관리,RDBMS(RDS) 및 NoSQL(DynamoDB) 등 관리형 데이터베이스 서비스 구축 및 운영,없음/찍먹/기본/심화
IaC 기반 인프라 자동화,(Terraform/Ansible) 코드로 인프라를 관리하는 IaC 도구 활용 및 프로비저닝 자동화,없음/찍먹/기본/심화
CI/CD 파이프라인 구축 및 배포,"Jenkins, GitHub Actions 등을 활용한 지속적 통합·배포(CI/CD) 자동화 시스템 구현",없음/찍먹/기본/심화
실무 프로젝트,"보안 그룹, IAM 등 클라우드 보안 정책 수립 및 엔터프라이즈급 인프라 설계 프로젝트 수행",없음/찍먹/기본/심화