대분류,훈련과정명,1,2,3,4,5,6,7,8,9,10
웹개발(프론트엔드),인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,기본,기본,기본,기본,심화,기본,기본,없음,기본,심화
웹개발(프론트엔드),UXUI디자인&웹기획 프론트엔드 부트캠프,심화,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),"[KDT]웹퍼블리셔(UIUX)&프론트엔드개발(API,ChatGPT,피그마,리액트,뷰)기업플랫폼프로젝트",심화,기본,기본,기본,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),생성형 AI를 활용한 영상 웹퍼블리셔&프론트엔드(React) 개발자 양성,심화,기본,기본,기본,심화,기본,기본,없음,기본,심화
웹개발(프론트엔드),『프로젝트기반』프론트엔드 개발자 양성(Figma/React/Next.js/PHP/Mysql/chatGPT),기본,기본,기본,기본,심화,심화,심화,심화,기본,심화
웹개발(프론트엔드),"[이스트캠프] 오르미 프론트엔드 개발(React, HTML/CSS/JavaScript)",기본,심화,기본,기본,심화,기본,기본,심화,심화,심화
웹개발(프론트엔드),"[K-디지털]인공지능(AI) 활용 스마트웹개발자양성(Java,Python)",기본,기본,기본,없음,없음,없음,없음,심화,기본,심화
웹개발(프론트엔드),프로덕트 디자이너를 위한 프론트엔드 개발 융합 실무 과정,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),React 기반 프론트엔드 개발자 취업 특화 과정,기본,기본,기본,기본,심화,기본,기본,없음,기본,심화
웹개발(프론트엔드),현대오토에버 웹&앱 개발 스쿨,심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),안드로이드 기반 앱 개발 실무 부트캠프,심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),초격차 캠프 프론트엔드 코스,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),실무형 iOS 앱 개발자 양성과정,심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),기업요구 AI플랫폼응용 SW개발및클라우드배포 프로젝트 완성 과정,기본,기본,기본,없음,없음,없음,없음,없음,기본,심화
웹개발(프론트엔드),앱 제작 실무 과정,기본,기본,기본,없음,없음,없음,없음,없음,기본,심화
웹개발(프론트엔드),기업 참여형 실무 중심 웹 프론트엔드 엔지니어 부트캠프,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),프론트엔드 엔지니어 부트캠프,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),UXUI디자인 웹 프론트엔드개발 부트캠프(생성형AI 활용/피그마),심화,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),프로그래머스 데브코스: 클라우드 기반 프론트엔드 엔지니어링,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
클라우드,데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,심화,기본,심화,기본,심화,심화,기본,기본,심화,심화
클라우드,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,심화,심화,심화,기본,심화,기본,기본,기본,심화,심화
클라우드,메가존클라우드 MSP 솔루션 아키텍트 양성 과정,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,클라우드 기반 정보시스템 구축 전문가 양성,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,[현대건설] Smart Plant,기본,심화,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,[가비아] g클라우드 기반의 그룹웨어 개발자 양성과정,심화,기본,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,LG헬로비전 DX DATA School,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,파이썬&앤서블로 시작하는 클라우드 인프라(데브옵스) 전문가 양성,심화,심화,심화,기본,심화,기본,기본,심화,심화,심화
클라우드,심화_다양한 AI워크로드 최적화를 위한 클라우드 엔지니어링 전문가 과정,심화,기본,심화,심화,심화,심화,기본,심화,심화,심화
클라우드,AWS 클라우드와 온프레미스를 이용한 인프라 구축,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,클라우드 시스템 운영관리자,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
클라우드,[교보DTS] Cloud architecture DX Academy(CDA),기본,기본,심화,심화,심화,심화,기본,심화,심화,심화
클라우드,[kt cloud] 클라우드 인프라 과정,심화,심화,심화,기본,심화,기본,기본,기본,기본,심화
클라우드,AWS Cloud School,심화,심화,심화,기본,심화,심화,기본,기본,심화,심화
클라우드,[우리FIS 아카데미] 클라우드 엔지니어링,심화,심화,심화,기본,심화,심화,기본,기본,심화,심화
클라우드,현대오토에버 클라우드 스쿨,심화,심화,심화,기본,심화,심화,기본,기본,심화,심화
클라우드,AI MSP 베스핀글로벌의 멀티클라우드(AWS·Azure·GCP·NCP) 엔지니어 부트캠프,기본,기본,심화,기본,심화,심화,기본,기본,심화,심화
클라우드,"심화_AWS클라우드네이티브 PWA위치기반 실무프로젝트CICD(Next,React,Typescript)",기본,기본,심화,기본,기본,기본,기본,기본,심화,심화
클라우드,[에스넷시스템] 클라우드 활용 네트워크 엔지니어 양성,심화,심화,심화,기본,기본,기본,기본,기본,기본,심화
임베디드(IOT),스마트 모빌리티 부트캠프 : 웹&모바일 통합 AI 자율주행 로봇 테크코스,기본,기본,기본,기본,없음,없음,없음,심화,심화,심화
임베디드(IOT),"[ 로봇 ] AI 영상기법을 활용한 실용적인 산업화 자율주행, 서비스 협동로봇 개발자 과정 (라이다, 뎁스카메라)",기본,기본,심화,기본,없음,없음,없음,기본,심화,심화
임베디드(IOT),"융합_[ ESG ] AIoT를 활용한 스마트 환경공정제어 자동화시스템 구축 (MES, ERP, PLC)",기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
임베디드(IOT),"AI사물인터넷 MCU기반(STM32,ESP32) 임베디드펌웨어 전문가양성",심화,심화,심화,기본,없음,없음,없음,기본,심화,심화
임베디드(IOT),LIG넥스원 The SSEN 임베디드SW 스쿨,심화,기본,기본,심화,없음,없음,없음,기본,기본,심화
임베디드(IOT),"IoT기반 스마트팩토리(PLC,HMI,SCADA) 제어설계",기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
임베디드(IOT),"IoT 지능형 관리시스템 웹&앱 개발자 양성과정(Java,Python,React)",기본,기본,기본,기본,없음,심화,없음,심화,심화,심화
임베디드(IOT),온디바이스 AI 반도체설계,심화,기본,기본,기본,없음,없음,없음,기본,심화,심화
임베디드(IOT),AIOT 기반 드론 영상 관제시스템 프로젝트 개발,기본,기본,심화,기본,기본,심화,없음,기본,심화,심화
임베디드(IOT),융합_[현대건설] Smart 안전,기본,기본,심화,기본,없음,없음,없음,기본,기본,심화
임베디드(IOT),차량용 반도체 IC 설계 및 프로젝트 실무인력 양성과정,기본,기본,기본,기본,없음,없음,없음,기본,기본,심화
임베디드(IOT),AIoT 무인선박 스마트시스템 개발자 양성과정,기본,기본,심화,기본,기본,심화,없음,심화,심화,심화
임베디드(IOT),현대오토에버 모빌리티 임베디드 SW 스쿨,기본,기본,심화,기본,없음,없음,없음,기본,기본,심화
임베디드(IOT),현대오토에버 스마트팩토리 스쿨,기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
임베디드(IOT),스마트팜 전문가양성 과정,기본,기본,심화,기본,없음,없음,없음,기본,기본,심화
임베디드(IOT),[HDC Labs]생성형 AI 활용 스마트 IoT 분석 및 서비스 개발 과정,기본,기본,심화,기본,없음,없음,없음,심화,심화,심화
임베디드(IOT),[HDC Labs] 스마트 IoT 풀스택 개발자 과정,기본,기본,기본,기본,없음,없음,없음,심화,심화,심화
임베디드(IOT),[NHN] 인공지능 기반 IoT 웹서비스 개발자 양성과정,기본,기본,기본,기본,없음,없음,없음,심화,심화,심화
임베디드(IOT),기타_[한화에어로스페이스] Space Challenger Academy – 항공우주 기기설계,기본,기본,기본,심화,없음,없음,없음,기본,기본,심화
임베디드(IOT),카티아 자동화로봇 설계 & 스마트팩토리 디지털트윈 부트캠프,기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
임베디드(IOT),"자율비행 드론 설계 및 제작(솔리드웍스,카티아,3D프린터,제어)",기본,심화,심화,기본,없음,없음,없음,기본,기본,심화
임베디드(IOT),융합_AIoT 반도체설계 Academy,심화,기본,심화,기본,없음,없음,없음,심화,심화,심화
메타버스,AI와 VR을 활용한 메타버스 건축 모델링 제작자 양성,심화,심화,심화,기본,기본,심화,기본,기본,기본,심화
메타버스,[K디지털] 실무 프로젝트기반 메타버스 플랫폼 콘텐츠 제작,기본,심화,심화,심화,기본,기본,기본,기본,심화,심화
메타버스,융합_[K-디지털]스마트관광컨벤션 서비스 제공을 위한 메타버스 구현,심화,심화,심화,기본,기본,기본,기본,기본,심화,심화
메타버스,[MBC 미디어 캠퍼스] 버추얼 팬덤 플랫폼 테크 전문가 양성 과정,기본,심화,심화,심화,기본,심화,기본,기본,심화,심화
보안,생성형 AI&LLM 기반 보안 시스템 엔지니어 양성 과정,심화,심화,기본,기본,기본,심화,기본,심화,기본,심화
보안,AI를 활용한 클라우드 보안엔지니어(화이트해커) 양성,심화,심화,기본,기본,심화,심화,심화,심화,심화,심화
보안,"정보보안 기반 클라우드, 서버 DevOps 인프라 및 네트워크 구성을 통한 실무형 엔지니어 양성",심화,기본,심화,기본,기본,기본,없음,기본,기본,심화
보안,[정보보안] 취약점분석 등 정보보안 전문가 취업캠프,기본,기본,기본,기본,심화,심화,심화,기본,기본,심화
보안,클라우드 기반 웹 개발자(보안코딩) 양성,심화,심화,기본,기본,심화,기본,없음,기본,기본,심화
보안,[이스트캠프] 가디언즈 정보보호 및 보안 인프라 운영 관리,심화,기본,심화,기본,기본,기본,기본,심화,기본,심화
보안,[Microsoft] CyberSecurity School,기본,기본,기본,기본,기본,기본,없음,기본,기본,심화
보안,WINS Cloud Security School,기본,기본,기본,기본,기본,기본,없음,기본,기본,심화
보안,[에스코어] 클라우드 및 보안 엔지니어 아카데미,심화,기본,기본,기본,기본,기본,없음,기본,기본,심화
보안,IaC 기반 하이브리드 클라우드 인프라 및 보안 솔루션 구축 과정,심화,기본,심화,기본,기본,기본,없음,심화,기본,심화
보안,현대오토에버 IT 보안 스쿨,기본,기본,기본,기본,기본,기본,없음,기본,기본,심화
보안,정보 보호 전문가 양성 마스터 클래스,심화,기본,심화,기본,심화,심화,없음,심화,기본,심화
보안,기업맞춤 정보보안 컨설턴트 양성 과정,기본,기본,기본,기본,기본,기본,없음,기본,기본,심화
보안,시스코(CISCO) 보안 아카데미,기본,기본,기본,기본,기본,기본,없음,기본,기본,심화
보안,생성형 AI활용 취약점분석& 클라우드 정보보안 부트캠프,심화,심화,기본,기본,심화,심화,심화,심화,기본,심화
보안,(정보보안)웹서버개발 및 웹보안 솔루션 구축 융합과정,심화,심화,기본,기본,심화,기본,없음,심화,기본,심화
보안,HIWARE로 완성하는 클라우드 IT 인프라 보안 엔지니어 양성,심화,기본,심화,기본,기본,기본,없음,기본,기본,심화
백엔드개발,AWS 클라우드 환경의 AI 적용 백엔드 API 서버 개발자 양성 과정,기본,기본,기본,기본,기본,심화,심화,기본,기본,심화
백엔드개발,"클라우드기반 AI Automation 스마트관리시스템(물류관리,생산관리)자바 백엔드개발",심화,기본,기본,기본,기본,기본,심화,기본,기본,심화
백엔드개발,인공지능 기술 융합 백엔드 웹 전문개발자 양성,기본,기본,기본,기본,기본,기본,기본,기본,기본,심화
백엔드개발,기업요구를 반영한 프로젝트형 JAVA&SpringBoot&Vue 개발자 과정,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
백엔드개발,(생성형AI활용)Springboot 기반 웹개발과 Flutter 기반 앱개발 실무양성 심화과정,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
백엔드개발,"[BNK부산은행]금융DT 아카데미(생성형AI활용,자바,Spring,Flutter) 개발자 양성과정",심화,기본,심화,기본,기본,기본,기본,기본,기본,심화
백엔드개발,"프로젝트기반 생성형 챗봇/백엔드 개발자(with 파이선,자바)",심화,기본,기본,기본,기본,기본,기본,기본,기본,심화
백엔드개발,"기업의 업무 자동화(RPA, 챗GPT) 플랫폼(JAVA, Spring) 개발",기본,기본,심화,기본,기본,기본,기본,심화,기본,심화
백엔드개발,디지털 컨버전스 중심 데이터 처리 SW 개발자 양성 과정,기본,기본,기본,심화,기본,기본,기본,기본,기본,심화
백엔드개발,Spring 기반 백엔드 개발자 성장 과정,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
백엔드개발,융합_자바 Spring을 활용한 금융서비스(빅데이터기반) 개발자 양성과정,심화,기본,심화,심화,기본,기본,기본,기본,기본,심화
백엔드개발,프로그래머스 데브코스 심화_Spring AI와 MSA를 활용한 백엔드 개발,기본,기본,심화,기본,기본,기본,기본,기본,심화,심화
백엔드개발,스프링Boot & AWS 클라우드 활용 금융서비스 솔루션 백엔드 아키텍쳐 개발 프로젝트,기본,기본,심화,기본,기본,기본,심화,기본,기본,심화
백엔드개발,"백엔드 개발자 부트캠프(AI, AWS 활용)",기본,기본,기본,기본,기본,기본,심화,기본,기본,심화
백엔드개발,MSA기반 자바 백엔드 개발자 양성과정,심화,기본,기본,기본,기본,기본,기본,기본,심화,심화
백엔드개발,엘리스 클라우드(자바/스프링) 기반 백엔드 엔지니어 트랙,심화,기본,심화,기본,기본,기본,심화,기본,기본,심화
백엔드개발,클라우드를 활용한 자바 스프링 백엔드 개발자 양성과정,심화,기본,심화,기본,기본,기본,심화,기본,기본,심화
백엔드개발,초격차 캠프 백엔드 코스,기본,기본,기본,기본,기본,기본,기본,기본,기본,심화
백엔드개발,프로그래머스 데브코스: 생성형 AI활용 백엔드 개발,기본,기본,기본,기본,기본,기본,기본,기본,기본,심화
백엔드개발,AWS 활용 Spring 백엔드 개발자 실무 부트캠프,기본,기본,심화,기본,기본,기본,심화,기본,기본,심화
백엔드개발,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",심화,기본,심화,기본,심화,기본,기본,기본,기본,심화
백엔드개발,"AWS기반 HyperAutomation융합 웹서비스플랫폼개발(JAVA,Python,RPA)",심화,기본,기본,기본,기본,기본,심화,기본,기본,심화
백엔드개발,생성형 AI와 프롬프트를 활용한 자바 응용개발자 양성과정,심화,기본,기본,기본,기본,기본,기본,기본,기본,심화
백엔드개발,심화_Spring Boot & AWS 클라우드 기반 백엔드 실무 프로젝트 부트캠프,기본,기본,심화,기본,기본,기본,심화,기본,기본,심화
백엔드개발,"ChatGPT 활용 금융서비스 백엔드(자바, 스프링) 개발자",심화,기본,심화,기본,기본,기본,기본,기본,기본,심화
백엔드개발,[생성형AI 기반] Spring Boot & AI 융합 지능형 백엔드 개발자 과정,기본,기본,심화,기본,기본,기본,기본,기본,기본,심화
백엔드개발,빅데이터 기반(파이썬·자바·웹) 엘라스틱 검색엔진 개발자,심화,기본,기본,심화,기본,기본,기본,기본,기본,심화
마케팅,데이터 분석 기반 디지털 마케팅,기본,기본,심화,심화,심화,기본,심화,기본,심화,심화
마케팅,생성형 AI 기반 디지털 마케팅 전문가 양성 과정,기본,기본,기본,기본,심화,심화,기본,기본,심화,심화
마케팅,멀티모달 AI 기반 풀퍼널(Full-Funnel)마케팅 & 광고 성과 분석,기본,기본,심화,심화,심화,심화,기본,심화,심화,심화
디자인,AI 콘텐츠 기획 기반 3D FX·모션그래픽 아티스트 양성과정,기본,기본,심화,없음,기본,심화,기본,기본,심화,기본
디자인,카티아 자동차 엔지니어링 모빌리티 설계 및 3D프린팅 부트캠프,기본,없음,심화,없음,기본,심화,심화,기본,심화,심화
디자인,[Etevers] 언리얼엔진 DX Wave (3D Artist),기본,없음,심화,없음,기본,기본,심화,기본,심화,기본
디자인,UXUI디자인&웹기획 프론트엔드 부트캠프,기본,심화,기본,심화,심화,심화,심화,기본,심화,심화
디자인,[기업프로젝트] 데이터시각화 UI 개발자 트랙,기본,심화,기본,심화,기본,심화,기본,기본,심화,심화
디자인,LLM 기반 반응형 웹&인터랙티브 UI/UX 퍼블리싱 과정,기본,심화,기본,심화,심화,심화,심화,기본,심화,심화
디자인,[K디지털]스마트웹기반 콘텐츠기획과 UXUI디자인 및 웹&앱제작,기본,심화,기본,심화,심화,심화,심화,기본,심화,심화
디자인,(기업요구 반영)생성형 AI(ChatGPT)활용 멀티디바이스 UI&UX 개발자 양성과정,기본,심화,기본,심화,심화,심화,심화,기본,심화,심화
디자인,생성형 AI융합(영상제작&UI/UX) 웹개발&웹기획자 양성과정,기본,기본,심화,기본,기본,심화,기본,기본,심화,심화
디자인,멋쟁이사자처럼 UX/UI 디자인 부트캠프,기본,심화,기본,심화,심화,심화,심화,심화,심화,심화
디자인,"AI로 만드는 스마트 영상(영화/애니메이션/비디오북) 콘텐츠 제작 엔지니어링 과정(미드저니,Comfy-UI,Runway)",기본,기본,심화,없음,기본,심화,기본,기본,심화,심화
디자인,생성형 AI 기반 그래픽 디자이너 양성 과정,심화,기본,심화,기본,기본,기본,기본,기본,심화,기본
디자인,재직자_UX/UI 딥다이브 : 애자일 방식을 활용한 디자인 심화과정,기본,심화,기본,심화,심화,심화,심화,심화,심화,심화
디자인,UXUI디자인 웹 프론트엔드개발 부트캠프(생성형AI 활용/피그마),기본,심화,기본,심화,심화,심화,심화,기본,심화,심화
디자인,"[KDT]웹퍼블리셔(UIUX)&프론트엔드개발(API,ChatGPT,피그마,리액트,뷰)기업플랫폼프로젝트",기본,심화,기본,심화,심화,심화,심화,기본,심화,심화
디자인,[스타트업][스마트훈련]실무형 UX/UI 디자이너 양성과정,기본,심화,기본,심화,심화,심화,심화,심화,심화,심화
디자인,스타트업 맞춤형 프로덕트 디자이너 양성 과정,기본,심화,기본,심화,심화,심화,심화,심화,심화,심화
디자인,UXUI 디자인 부트캠프,기본,심화,기본,심화,심화,심화,심화,심화,심화,심화
디자인,실내건축&가상공간 인테리어디자인 - 메타버스VR,기본,없음,심화,없음,기본,심화,심화,기본,심화,심화
로봇,융합_로보테크 AI 자율주행 로봇 개발자 과정,심화,기본,기본,기본,심화,기본,심화,심화,기본,심화
로봇,[두산로보틱스] 지능형 로보틱스 엔지니어,기본,심화,기본,기본,심화,기본,기본,기본,기본,심화
로봇,심화_ROS2와 AI를 활용한 자율주행&로봇팔 개발자 부트캠프,심화,심화,기본,기본,심화,기본,심화,심화,심화,심화
로봇,"반도체 자동화로봇 장비설계 하이테크부트캠프(카티아,EFEM)",기본,없음,심화,기본,없음,심화,없음,없음,심화,심화
로봇,"3D프린터기반 지능형 서비스로봇 설계 및 제작(솔리드웍스,카티아,파이썬)",기본,없음,심화,기본,없음,심화,없음,없음,심화,심화
로봇,AI융합 로봇 SW 개발자,심화,심화,기본,기본,심화,기본,기본,심화,기본,심화
로봇,(HL 만도 및 HL Klemove) Intelligent Vehicle School,기본,기본,기본,기본,기본,기본,기본,기본,기본,심화
로봇,융합_AI 미래형모빌리티(로봇·ADAS),심화,기본,기본,기본,심화,기본,심화,심화,기본,심화
로봇,"로보틱스 메타팩토리 부트캠프(카티아,디지털트윈)",기본,없음,기본,기본,없음,심화,없음,없음,심화,심화
로봇,로봇활용 첨단 생산시스템 전문가 양성,기본,기본,기본,기본,기본,기본,기본,기본,심화,심화
